Name,breakfast,lunch,dinner,veg\nonveg,calories,fats,saturatedfats,sodium,carbohydrates,fiber,sugar,protein
Sprouts and potato salad in Orange juice,0,1,0,0,342.9,0.6,0.1,26.4,77.6,9.4,12.8,9.7
Sprouts Sandwiches,1,0,0,0,39,2,1.2,20.1,4.8,1.2,2.6,1.4
Brussels Sprouts 'n Potatoes,1,0,1,0,150.8,5.4,3.1,83,23.3,4.9,4.3,4.6
Black Coffee Barbecue Sauce,0,1,0,1,772,3.9,0.5,2241.9,189.6,6.4,164.3,7
Chocolate Coffee,1,0,0,0,308.3,19.3,11.9,43.5,20.3,3.1,11.5,5
Chocolate Coffee Ice Cream Soda,1,0,0,0,91,1.1,0.7,164.6,19.6,0,18.2,1
Creamy Iced Coffee,1,1,0,0,64.6,0.1,0,19.1,15.9,0,15.7,0.3
Coffee Punch with Ice Cream Floats,1,1,0,0,240.4,19.5,12.1,49.3,15.6,0.5,13.3,2.5
Iced Coffee Cream,1,1,0,0,284.9,17.6,10.9,109.8,25.9,0.6,18.6,5.9
Sweetened Iced Coffee,1,1,0,0,151.3,6.3,3.9,85.8,17.8,0,8.3,6.1
Coffee Liqueur (Fake Kahlua),1,1,0,0,704,0.1,0,24.6,122.6,0,118.1,1.2
Instant Coffee Kahlua,1,1,0,0,4621.1,0.1,0,43.5,608,0,602,1.5
Cappuccino Coffee Mix,1,1,0,0,54.3,2.2,2,12.4,8,0.1,6.8,0.7
Coffee Frappe,1,1,0,0,48.4,0,0,10.5,12.5,0.1,9.5,0.1
Copycat Coffee House Whipped Cappuccino,1,1,0,0,274,6.1,3.9,147.9,45.8,0.6,40.4,10.2
Iced Coffee II,1,1,0,0,241,0.5,0.2,37,41.1,0,0,12.2
Cinnamon Peach Coffee Cake,0,1,0,0,555.5,23.5,2.9,280.6,82.8,3.2,56.6,6.5
Caribbean Coffee,1,1,0,0,37.8,1.2,0.8,27.4,4.4,0,4.7,2.2
Chocolate Coffee II,1,1,0,0,136.4,6.9,4.3,88.4,15.8,0.8,8.4,4.7
Spicy Garlic Ginger Roti,1,0,1,0,260.5,15.1,9.1,2.3,28.6,4,0.2,5
Makki Di Roti,1,1,1,0,115,3,0.4,0.5,19.1,0.7,0.1,2.6
Missi Roti,1,1,1,0,303.2,9.7,4.3,416.2,42.4,7.6,4.7,12.8
Hari Bhari Hari Roti (All The Way Green Green Peas Roti),1,1,1,0,115.9,2.2,0.3,293.2,21.3,4,0.9,4.4
Vegetable Rotini,1,1,1,0,1046,35.9,17.6,1967.9,138.1,14,13.8,41.6
Basic Rotis or Chappatis,1,1,1,0,68,0.5,0.1,1,14.4,2.1,0.1,2.6
Summer Corn and Tomato Pasta,1,1,0,0,324.6,9.4,4.4,682.9,52.1,9.3,7.1,11.7
Apricot Chicken With Pasta,0,1,0,1,1213.5,30,7.2,138.7,173.5,11.8,25.9,62.3
Olive Garden Pasta E Fagioli,1,0,0,0,506.2,18.9,6.5,1709.4,52.8,11.2,14.9,31.6
Creamy Smoked Salmon & Dijon Pasta,0,1,0,1,438.6,20.3,9.7,596.9,44.1,2.4,3,20.1
Pasta E Fagioli II,0,1,0,0,1871.8,21.8,6.4,277.9,324.3,51.5,8.7,100.3
Steak & Tomato-Basil Pasta,1,0,0,0,757.8,35,13.2,525,71,11,6.6,41
Sweet Pepper Sauce for Pasta,1,0,0,0,285.2,15,2.2,30.6,37.6,10,22.5,6.5
Pasta and Beans,1,0,0,0,1767.9,11.6,3,89.1,324.1,51.5,8.7,97.7
Pasta Salad with Sweet Peppers and Dill,1,1,0,0,83.4,3,0.4,24.2,12.4,1.9,3.8,2.2
Pasta with Blue Cheese Sauce,1,1,0,0,475.8,6.2,2.9,703.5,82.3,5.7,8.8,16.1
Pasta with Peperoni (Sweet Green Peppers),1,1,0,0,420.2,2.5,0.4,36.4,93.4,13.7,1.6,9.1
Pasta With Szechuan Peanut Dressing,1,1,0,0,423.4,18.8,2.8,198.7,51.9,4,5,14.7
Quick and Cheap Pasta,1,1,0,0,176.5,11.9,7.4,614.5,17.3,3.6,10.2,3.5
Shrimp Sauce for Pasta,1,1,0,1,520.1,12.4,3,1077.9,60.3,2.6,2.3,35.9
Pasta Fruit Salad,1,1,0,0,196.2,1.4,0.6,14.4,42.7,3,18.9,5.2
Potluck Pasta Salad,1,1,0,0,278,16.6,3.6,525.5,25,4,4.6,9.4
Spinach Pasta Salad,1,1,0,0,141.1,9.9,2.9,166,9.4,0.9,0.7,4.2
Tuna-Riffic Pasta Salad,1,1,0,0,362.5,2.9,0.7,349.9,56.7,5.3,8.8,26.1
Alfredo Sauce with Pasta,1,1,0,0,1902.9,186.8,116.7,3363.6,9.7,0,1.4,52.3
Alfredo Sauce With Pasta,1,1,0,0,765.8,37.6,22.8,258,87.1,3.6,3.2,19.4
White Pasta Sauce,1,1,0,0,188.2,14.3,8.9,76,10.1,0.1,0,5.5
Homemade Pasta,1,1,0,0,293.1,6.4,1.3,37.2,47.9,1.7,0.3,9.6
Egg Noodles II,1,1,0,1,1279.3,27.3,8.1,2952.8,193.5,6.8,2.6,57.3
Noodles Romanoff with Sour Cream,1,1,0,0,166.7,10.2,6.2,358.8,11.6,0.4,0.4,7.4
Thai Noodles With Seafood,1,0,0,1,179.4,9.9,1.3,1539.5,6.6,0.8,3.1,16.3
Peanut Noodles with Gingered Vegetables and Tofu,1,0,0,0,694.6,37.4,6.3,786.3,67.5,9.5,10.5,28.9
Nancy's Sesame Noodles (Cold),1,1,0,1,563.9,22.6,4.4,158.6,72.1,5.7,5.2,20.2
Deviled Eggs and Noodles,1,0,0,1,298.6,20.1,9.6,595,21.5,1.5,2.8,8.8
Thai Noodles (Pad Thai),1,1,0,0,833.9,47.4,6.5,1622,81.5,5.7,23,24.5
Noodles in Sesame Sauce,1,1,0,0,2063.8,120,17,2596.3,226,17.3,21.9,35.7
Spicy Thai Noodles,1,0,0,1,668.4,29.2,5.4,6506.7,64.6,3,11.3,37.1
Fried Noodles Chinese Style,1,0,1,0,1504.4,22.5,6.1,547.8,243,14.6,13.5,80
Salisbury Steak with Egg Noodles,1,1,0,1,474.6,20.4,7.5,788.4,41.6,2,6.7,30
Lemon Noodles,1,0,0,0,382,5.8,0.9,340,70.3,3,5.5,11.9
Noodles with green onions & Ginger,1,1,0,0,280.9,13.2,2.1,882.5,33.6,1.8,1.2,7.4
Chicken Chow Mein With Noodles,1,1,0,1,543.7,27.1,5.1,771.9,57.4,10.6,8.2,24
Cabbage and Noodles Salad for the Lazy,1,1,0,0,97.6,0.5,0.1,712.2,22.3,5.2,11.7,4.8
Baked Noodles,1,1,0,0,192.2,9.9,5.2,191.4,18.4,1,3.7,7.7
Basmati Rice Seasoned with Garam Masala,0,1,0,0,304.1,9.5,5.2,72.7,49.5,2.5,1.3,5.2
Rice with Garlic and Pine Nuts,0,1,0,0,773.9,20.2,6,3.9,132.8,3,0.7,13.4
Rice Pilaf,0,1,0,0,175.7,6.1,3.7,349.7,27.1,1.3,1.1,3.2
Rice Stuffed Artichokes with Lemon Sauce,0,1,0,0,754.8,15.4,8.5,438.4,137.5,10.3,4.2,17.2
Butter Pecan Cookies,1,0,0,0,69,5.6,1.4,15,4.5,0.6,1.6,0.8
Blueberry Cookies,1,0,0,0,58.4,2.4,0.7,41.6,8.7,0.2,4.5,0.7
Chocolatey Raisin Chip Cookies,1,0,0,0,83.5,3.1,0.6,28.2,13.5,0.5,8.7,1.2
Fudgy Chocolate Crinkle Cookies,1,0,0,0,298.7,11.9,3.6,137.7,46.8,1.6,32.6,4.1
Hazelnut Shortbread Cookies,1,0,0,0,111.5,7.5,3.4,46.4,10.4,0.6,4.6,1.3
Fruit Loop Cookies and Orange Icing,1,0,0,0,103.5,5.7,2.4,27.5,12.5,0.1,9.4,0.8
Easy Refrigerator Lemon Cookies,1,0,0,0,59.3,3.1,1.9,42.1,7.5,0.1,3.4,0.5
Crunchy Pretzel Drops No-Bake Cookies,1,0,0,0,106.3,3.4,2.4,173.4,17.9,0.4,6.3,1.4
No Bake Chocolate Cookies,1,0,0,0,2522.8,136.6,44.5,1569.7,265.6,48.1,32.3,72.9
Honey Dijon Mustard Chicken With Apricot,0,1,1,1,167.7,1.5,0.4,82.8,10,0.1,5.5,27.4
Honey-Hazelnut Spread,1,1,1,0,1252.2,54.7,4,9,201.2,9.2,189.5,14.1
Honey Fruitcake,1,0,0,0,6503.8,262.3,78.3,2114.2,979.4,32.6,789.7,77.8
Honey Cheesecake,1,0,0,0,416,33.6,20.6,297.5,21.2,0.1,19,9.4
Honey Bar Brownies,1,0,0,0,327.4,18.2,2.3,23.6,39.9,1.2,26.2,2.9
Honey Dijon Mustard Dressing,1,0,0,0,241.1,1.2,0.3,418.2,43,0.7,41.9,15
Honey Oat Biscotti,1,0,0,0,102.5,4.1,0.8,106.8,14.9,0.9,6,2
Honey Glazed Turkey,1,0,0,0,529.5,24.6,15.1,1909.2,77.4,4.9,65.5,6.8
Honey Oat Bread (Bread Machine),1,0,0,0,255.3,4.3,0.6,293.8,48.3,2.1,8.9,5.9
Apple Juice Marinade,1,0,0,0,376.8,0.5,0.1,4029.9,92.6,1.3,85.5,8.5
Apple Juice Roast,1,0,0,0,549.7,22.3,10.7,735.4,22.8,2.7,8.8,65.5
Tomato Juice Cocktail,1,0,0,0,36.4,0.2,0,828.4,10.1,1.7,5.5,1.4
Baked Salmon with Orange Juice,1,1,1,1,258.3,15.5,4.3,76.5,7.7,0.1,6.2,21
Fruit Juice Cooler,1,0,0,0,64.2,0.1,0,6.5,16.3,0.6,3.3,0.5
Garden Veggie Juice,1,1,1,0,26.2,0.3,0.1,9.2,6,1.6,3.5,1.2
Sprouts and potato salad in Orange juice,1,0,1,0,342.9,0.6,0.1,26.4,77.6,9.4,12.8,9.7
"Clamato Juice ( Substitute, Homemade, Copycat, Clone )",1,0,0,0,9.2,0,0,90.3,2.2,0.1,1,0.2
V-8 juice for canning,1,0,0,0,213.8,2.1,0.3,89,47.2,13.3,30.9,9.5
Meatballs With Tomato With Juice Gravy,0,1,1,1,315.4,21.2,7.8,893.9,8.6,0.9,4.8,22.2
Tomato Juice,1,1,1,0,69.6,0.8,0.1,35.3,14.9,4.8,10.1,3.4
Spicy Tomato Juice,1,1,1,0,47.8,0.5,0.1,16.6,10.7,2.9,7.2,2.1
V10 Vegetable Juice,1,1,1,0,53.8,0.5,0.1,43.5,12.3,3.2,7.7,2.2
Smurf Juice,1,1,1,0,35,0,0,3.6,3.5,0,3,0
Beatlejuice,1,1,1,0,22,0,0,0.1,0,0,0,0
Orange Juice Bread,1,1,1,0,368.5,13.3,7.9,141.4,59.2,0.7,40.6,4.4
"Pineapple, Apple, Banana and Orange Juice",1,1,1,0,175.9,0.4,0.1,3.5,45.5,4.9,34.9,1.9
Baby's Jungle Juice,1,1,1,0,45.5,0.6,0.3,9.1,9.6,0.1,8.8,0.7
Wave Juice,1,1,1,0,25.4,0,0,0.9,6.6,0,6.3,0
Pink Perfection Juice,1,1,1,0,56.2,0.4,0,1.7,13.7,1.7,9.5,1.1
Vegetable-Orange Juice Cocktail,1,1,1,0,59.8,0.2,0,370.8,14.3,1.3,12.4,1.4
Grape Juice Sherbet (Healthy & easy!),1,1,1,0,122.5,0.1,0,46.9,29.7,0.1,29.3,1.7
Carrot/Apple Juice,1,1,1,0,135.4,0.6,0.1,113.4,34.3,7.6,22.5,1.8
Apple Juice Jello Cubes,1,1,1,0,7.1,0,0,1.5,1.6,0,1.5,0.2
Sweet Potato Stew With Orange Juice and Black Beans,1,1,1,0,160.1,1.9,0.9,47.1,31.2,6.5,9,5.9
Carrot and Celery Juice,1,1,1,0,131.4,0.8,0.1,242.4,30.4,9.2,15.2,3.1
Chuck's Chicken Juice,1,1,1,1,212,22.3,3,2102.5,0.9,0.1,0.2,0.7
Watermelon Juice,1,1,1,0,134.8,0.5,0.1,10.8,34.7,1.4,30.2,2
Salad Smoothie (for juicer or blender),1,1,1,0,99.7,0.8,0.2,665.8,22.4,6.3,10.8,4.8
Homemade Tomato Juice,1,1,1,0,153.1,1.6,0.2,1525.7,33.1,10.1,21.8,7.1
Easy Concord Grape Juice,1,1,1,0,510.3,0.6,0.2,4.7,131.5,1.7,129.7,1.2
Banana-Cranberry Juice-Tofu Smoothie,1,1,1,0,56.9,0.2,0.1,0.7,14.6,1.5,8.2,0.6
Yogurt Juice - Drinkable Yogurt,1,1,1,0,37.4,2,1.3,31.4,2.9,0,2.9,2.1
Homemade Sparkling Grape Juice,1,1,1,0,386.6,0.7,0.2,15.1,95.8,0.7,95.2,1.4
Hot Mulled Pineapple Juice,1,1,1,0,240.1,0.4,0,13.6,60.4,1.6,50,1.3
Tomato Juice Cocktail,1,1,1,0,32.2,0.1,0,840.2,7.9,1.1,6.3,1.4
Easy Fruit Juice Tapioca Pudding,1,1,1,0,142.4,0.2,0.1,306.3,35.1,0.6,19.5,1.1
Strawberry Orange Juice Sauce,1,1,1,0,190.9,0.4,0,2.6,50.9,4.4,44.8,1.4
Tomato / Vegetable juice to can,1,1,0,0,622.2,3.2,0.8,3583.1,148.7,21.2,120.7,14.8
Vegetable Juice Cocktail,1,1,0,0,29.7,0.2,0,633.4,6.8,2,3.5,1
Michigan Grand Sparkling Cherry Juice,1,1,0,0,38,0.1,0,9.1,9.7,1.2,8.5,0.6
Orange Juice Cookies,1,1,0,0,81.8,4.3,2.9,49.4,10,0.5,4.7,1.1
Raspberry's Christmas Apple Juice Mull,1,1,1,0,1889.9,4.6,0.8,119.4,470,7.2,433.7,3.6
Simple Spiced Apple Juice Tea,1,1,1,0,117.5,0.3,0.1,7.5,29.1,0.3,27.1,0.2
Spicy Cleansing Juice,1,1,1,0,276.2,1,0.1,120,70.3,11.8,50,3.9
,1,1,1,1,187.8,9.5,5.9,100.4,24.8,0.3,22.5,2.3
Frozen Juice Punch,1,1,1,0,114.1,0.1,0,14.7,29,0.1,28.2,0.4
Grapefruit Juice ,1,1,0,0,151,0.5,0.1,0,38.7,0,0,3
 Juice Cocktail,1,1,1,0,144.3,0.5,0.1,51.2,37,7.8,24.7,1.8
Warm Spiced Cranberry Juice ,1,1,1,0,130.4,0.3,0,4.4,32.1,0.1,27.7,0.4
Carambola juice,1,1,0,0,39.2,0.3,0,9.8,9.8,2.7,4.4,1.1
Fruit 'n' Juice Breakfast Shake,1,1,0,0,165.8,1.2,0.6,43.2,36.8,2.4,26.7,4.2
Orange Juice Biscuits,1,1,0,0,471.6,21.5,9.8,893.8,66.1,1.3,39.3,5.2
Juice Alpokat (indonesian Avocado Drink),1,1,0,0,586.3,35.9,8.3,120.9,64.4,14.5,44.7,10
Jungle Juice Frosty,1,1,1,0,93.6,0.3,0.1,3.3,22.6,2.1,13.3,1.1
Orange Juice Cake,0,0,0,0,467.8,23.5,7.4,497.4,61.2,0.5,45.5,4.3
Carrot Cake With Carrot Juice,1,1,1,1,7788.3,348.2,95.5,4539.8,1123.4,27,879.2,79.4
Sea Bass and Shrimp Marinated in Lime Juice,1,1,1,1,184.3,5.1,0.9,341.1,7.2,0.7,1.7,27.5
Wood Apple Juice,1,1,1,0,555.5,0.2,0,1.4,144,3.3,139.2,0.4
Monster Slime Juice,1,1,1,0,126.8,0.1,0,558.9,22.4,0.5,20.6,1.3
Get Juiced,1,1,1,0,239.9,1.8,0.3,360.9,56.3,15.1,32.9,6.9
Spiced Cranberry-Apple Juice,1,1,1,0,93.8,0.2,0,3,24,0.1,22.2,0
Pineapple-Rose Fruit Juice,1,1,1,0,16.8,0,0,0.9,4.1,0.1,3.1,0.1
Strawberry And Raspberry Multi-beneficial Juice,1,1,1,0,110,1.2,0,2.7,25.8,10.9,12.2,2.4
Pineapple And Kiwi Fruit Juice For Fresh And Young Skin,1,1,1,0,39.6,0.1,0,1.6,9.6,0.1,7.4,0.3
Watermelon And Mint Juice,1,1,1,0,101.8,0.5,0.1,3.2,25.8,1.2,21.7,1.9
Avocado &amp; Frozen Tomato Juice,1,1,1,0,287.5,24.6,3.6,363.6,18.8,6.9,5,2.6
Carrot And Parsley ,1,1,1,0,5.9,0,0,0.2,2,0.1,0.6,0.1
Jungle Juice ,1,1,1,0,145.2,0.1,0,1.4,37.5,0.5,34.8,0.3
Carrot And Ginger Zinger Juice,1,1,1,0,137.9,1.3,0.3,105.4,31.9,7.2,13.6,2.7
"Pineapple,apple,&amp; Ginger Juice",1,1,1,0,71.8,0.2,0,1.4,19.1,3.3,14.3,0.4
Chicken Flambe,0,1,1,1,304.6,14.6,4.5,158.6,6.6,0.8,2.2,25.6
Chicken Curry,0,1,1,1,360.1,10.7,4.9,1251.6,38,4.6,23.5,31.1
Chicken Goulash on a Sour Cream Crust,0,1,1,1,695.5,46.4,22,275.1,41.8,2.6,3.7,24.2
Chicken in Pizza Dough,0,1,1,1,545,5.9,1.6,628,97.3,3.9,1.4,22.8
Chicken Lasagna,0,1,1,1,209.3,10.3,4.7,693.5,10.9,0.8,3.1,18.1
Chicken Pot Pie Lasagna,0,1,1,1,334.8,13.8,7.2,517.3,19.2,2.1,3.2,30.8
Chicken Roll-Ups,0,1,1,1,330.7,19.4,10.2,552.7,31.8,2.3,3.7,7.5
Chicken Supreme with Mushrooms,0,1,1,1,411,26.8,12.2,209.7,7.3,1,3.2,32
Chicken Sate with Peanut Sauce,0,1,1,1,527.6,37.9,13,1525.5,12.2,3.4,3.2,38.2
Karacha Dosai,1,0,0,0,709.6,9.9,1.4,1170.6,135.9,7.2,5,17.6
Amul Cheese Dosas,1,0,0,0,180.9,0.4,0.1,85.1,37.6,4.9,1.1,6.1
Sabudana Dosa,1,0,0,0,707.2,5.8,2.3,70.5,148.5,7.3,10.9,14.6
Palak Dosa,1,0,0,0,2226.9,7.9,1.4,5892,500.1,23.8,86.6,44.2
Sweet Dosa,1,0,0,0,134.3,2.5,0.3,80.9,25.6,0.6,8.4,2.3
Masala Dosa with Coconut Chutney (South Indian Savory Crepes with filling),1,0,0,1,497.4,9.4,1.3,17,87.8,14.8,5.7,15.9
Kozhi Dosa - Chicken stuffed pancakes,1,0,0,1,859.5,28.7,6.8,1269.2,113,4.1,0.7,34
Aloo Dosai especially for SandraMK,1,0,0,0,166.6,0.5,0.1,86.6,35.8,3.4,2.6,5.2
Dosas (Indian Rice and Lentil Pancakes),1,0,0,0,196.7,3.4,0.5,584.8,35.6,4.9,2.1,5.8
Neer Dosa,1,1,0,0,78,0.1,0,0.2,17.2,0.3,0,1.4
Plain Crepes (Plain Dosas),1,1,0,0,471.7,1.1,0.2,4.7,92.3,20.4,1.3,21.2
Rice And Coconut Dosas/Crepes,1,1,0,0,491.3,14.3,12.3,8.8,82.4,4.8,1.6,7.9
Potato And Carrot Dosa,1,1,0,0,663.8,3.8,1.7,96.7,143,13,11.8,16.4
Instant Rava Dosa (Semolina Pancakes),1,1,0,0,229.4,3,0.6,35.9,43.9,3.5,1,7.1
Steamed Rice Cakes (aka Idli),1,1,0,0,63.7,0.1,0,1.2,14.1,0.5,0,1.2
Rava Idli,1,1,0,0,288.2,5.2,2.1,624,48.9,3.2,5.6,11.2
Idli,1,1,0,0,39,0.1,0,64.9,7.6,1.7,0.1,1.7
Peanut Chutney for Idlis and Dosas,1,1,0,0,236.4,19.4,2.7,299.9,9.6,3.8,3.1,10.3
Fried Idlis,1,1,0,0,103.5,0.7,0.1,632.8,23.1,3,5.6,2.9
Buckwheat Bread,1,1,0,0,2389.3,27.3,7.1,2717,466.9,57.5,30.2,97.8
Bread Pudding,1,1,0,0,487.1,25.6,14.5,597.1,49.3,0.4,29.6,15.6
"Capsicum, Tomato and Crunchy Bread Salad",1,1,0,0,283.9,26,3.6,11.1,12.4,3.2,7.4,2.3
Bread Pudding with Jack Daniels Sauce,1,0,0,0,517.6,25.4,14.7,521.2,55.5,1.4,25.6,9.2
Buttermilk-Oat Bread,1,0,0,0,68.7,0.7,0.3,88.4,13.3,0.6,1.7,2.1
Cherry Tomatoes on Provolone Garlic Bread,1,0,0,0,488.6,38.6,10,483.5,23.7,2.9,7.2,13.4
Amish Friendship Bread and Starter,1,0,0,0,615.9,21.3,4,374.9,100,2.3,65.2,8.5
Amish Cornbread,1,0,0,0,1792.5,85,20.6,3580.5,217.9,15.1,10.5,45.9
Chocolate Bread and Butter Pudding,1,0,0,0,433.4,22.4,12.7,378.1,46.8,1.7,22.1,10.7
Crock Pot Chocolate Zucchini Nut Bread,1,0,0,0,2867.8,120.7,32.5,1447.9,414.9,18,205,47.4
Chocolate Zucchini Bread,1,0,0,0,501.2,24.2,3.7,392.8,67.6,2.7,40.9,6.3
Chocolate Chip Shortbread,1,0,0,0,111.7,7,4.3,1.1,11.1,0.6,5,1.1
Brown Sugar Shortbread,1,0,0,0,73,4.5,2.8,32.3,7.7,0.2,2.5,0.7
Eight Layer Shortbread Slices,1,0,0,0,107.2,6.5,4.1,58.3,11.3,0.4,3.3,1.1
Hazelnut Shortbread Cookies,1,0,0,0,111.5,7.5,3.4,46.4,10.4,0.6,4.6,1.3
Pecan Shortbread,1,0,0,0,113.2,6.3,3.3,39.5,13.6,0.4,7.5,1
Pumpkin Bread Pudding with Raisin Nut Bread,1,0,0,0,438.5,28.8,16.6,293.7,38,1.4,19.7,8.2
Apple-Cinnamon Bread Pudding,1,0,0,0,210.1,8.1,4,153.7,29.5,2.5,16.5,6.1
Irish Dark Soda Bread,1,0,0,0,158.4,0.8,0.3,267.5,32.5,2.5,3.6,5.7
Irish Soda Bread,1,0,0,0,1551.8,6.4,2.3,3114.6,317.1,10.2,19.9,48.9
Apple and Marmalade Bread and Butter Pudding,1,0,0,0,361.3,6,2.5,273.9,72.7,4.5,45.5,9.1
Gingerbread Yule Log,1,0,1,0,287.2,16,9.5,202.8,32.8,0.6,18.4,4
Fried Cornbread,1,0,1,0,611.2,6.2,0.9,3459,128.6,12.3,0,15.2
Cornbread and Cheese Muffins,1,0,1,0,137.8,5,2.6,229.1,17.5,2,1.5,6.7
Ezekiel Bread,1,0,1,0,151.4,2.9,0.4,147.3,27.4,4.3,0.9,5.9
Dill Bread,1,0,0,0,1613,30.9,13.1,3593.6,264.2,13.9,12.5,67.5
Dill Buttermilk Bread,1,0,0,0,1676.6,7.1,2.6,4902.4,348,10.8,56.4,51.5
Cranberry Bread,1,0,0,0,266.9,8.4,1.2,385.6,44.5,2,22.4,4.6
Awesome Apple Bread,1,0,0,0,2634.1,118.3,16.8,1906.5,370.8,10.3,220.2,29.3
Croissant Bread Pudding with Brandy Cream Sauce,1,0,1,0,648.9,36,21.1,580.2,72.9,2.9,44.3,9.8
Crusty Bread From Cuba,1,0,1,0,1427.3,4.2,0.7,6993.3,299.5,11.6,7.3,40.7
Crisp Flatbread,1,0,1,0,107,0.5,0.1,195.7,23.1,3.2,0.2,3.3
Crusty Garlic Bread,1,0,1,0,71.8,1.7,0.3,134.1,11.8,0.8,0.2,2.1
Hobo Bread,1,0,1,0,1219.4,19.4,2.6,1687.5,250,9,129.1,19.9
Mixed Onion Soup in Sourdough Bread Bowls,1,0,1,0,808.9,28,15.6,730.8,59.1,4.1,20.4,15.1
Red Pepper Spoon Bread,1,0,1,0,212.4,5.8,2.5,438.3,31.1,2.6,4,11
Bread Machine Sage-Wheat Bread,1,0,1,0,76,1.3,0.5,81.8,14.1,1.6,0.6,2.7
Savoury Bread Dish,1,0,1,0,233,9.4,4.2,367.7,24.9,0.9,1.9,11.6
Spoon Bread Chili Pie,1,0,1,0,529.3,35.7,16,1239.7,39.3,7.9,6.4,16.1
Perfectly Spiced Banana Bread,1,0,1,0,318.2,13.1,7.8,434.9,46.6,1.5,22.3,4.8
Butter Shortbreads,1,0,1,0,36,2.7,1.7,19.1,2.7,0.1,0.8,0.3
Amish Cornbread II,1,0,1,0,298,14.2,3.2,475.7,36,2.5,1.8,7.7
Coconut Bread,1,0,1,0,214.6,12.6,3.6,97.3,23.4,1.2,13.4,3.1
Coconut Bread II,1,0,1,0,274.3,15.6,3.8,129,30.8,1.3,17.6,4
Buttermilk Cornbread,1,0,1,0,110.3,4.8,0.9,226.5,14.2,1.1,1.6,3.1
English Muffin Bread,1,0,1,0,261.4,2.2,1,435.9,51.1,2,1.2,8.3
Fried Cornbread II,1,0,1,0,72.4,1.4,0.4,231.1,12.2,1,1.5,3.1
Fantastic Focaccia Bread,1,0,1,0,925,65.7,39.2,2093.8,14.2,1.9,6.1,69.3
Gingerbread Man Cookies,1,0,1,0,1919,49.1,10.2,939,335.5,9.6,77.5,33.1
Orange Bread,1,0,1,0,379.9,8.7,1.8,491.7,70.2,2.8,41.3,7.5
Southern Spoon Bread,1,0,1,0,212.5,12.3,6.7,699.2,20.4,1.5,2.3,6.2
Virginia Spoon Bread,1,0,1,0,338.1,25.6,14.9,515.9,22.1,1.8,0.3,6.2
Texas Spoon Bread,1,0,1,0,207.2,9.5,4.9,522,22.2,1.5,0.9,8.8
Pear Bread,1,0,1,0,929.2,35.4,21.1,1048.2,140.3,3.9,73.3,14
Pumpkin Pie Spice Bread,1,0,1,0,392.1,15.2,2.3,344.8,60.7,1,38,4.7
Soft Flatbread - Mjukt Tunnbrod,1,0,1,0,201.4,5.3,3.1,136.3,33.6,1.8,4.5,5.2
Sourdough Zucchini Bread,1,0,1,0,2841.8,139,21.3,2353.2,363.3,12.8,155.2,43.7
The Whole Earth Cracked Wheat Bread,1,0,1,0,1086.2,19.6,2.8,1193.9,213.8,22.1,49.9,32.5
West Indian Bread Pudding,1,0,1,0,458.2,4.9,1.1,838.3,87.2,4.5,17.3,16.2
